Report_Year,Region,Region_Rank,Country,Score
2015,Australia and New Zealand,1,New Zealand,7.286
2015,Australia and New Zealand,2,Australia,7.284
2015,Central and Eastern Europe,1,Czech Republic,6.505
2015,Central and Eastern Europe,2,Uzbekistan,6.003
2015,Central and Eastern Europe,3,Slovakia,5.995
2015,Central and Eastern Europe,4,Moldova,5.889
2015,Central and Eastern Europe,5,Kazakhstan,5.855
2015,Eastern Asia,1,Taiwan,6.298
2015,Eastern Asia,2,Japan,5.987
2015,Eastern Asia,3,South Korea,5.984
2015,Eastern Asia,4,Hong Kong,5.474
2015,Eastern Asia,5,China,5.14
2015,Latin America and Caribbean,1,Costa Rica,7.226
2015,Latin America and Caribbean,2,Mexico,7.187
2015,Latin America and Caribbean,3,Brazil,6.983
2015,Latin America and Caribbean,4,Venezuela,6.81
2015,Latin America and Caribbean,5,Panama,6.786
2015,Middle East and Northern Africa,1,Israel,7.278
2015,Middle East and Northern Africa,2,United Arab Emirates,6.901
2015,Middle East and Northern Africa,3,Oman,6.853
2015,Middle East and Northern Africa,4,Qatar,6.611
2015,Middle East and Northern Africa,5,Saudi Arabia,6.411
2015,North America,1,Canada,7.427
2015,North America,2,United States,7.119
2015,Southeastern Asia,1,Singapore,6.798
2015,Southeastern Asia,2,Thailand,6.455
2015,Southeastern Asia,3,Malaysia,5.77
2015,Southeastern Asia,4,Indonesia,5.399
2015,Southeastern Asia,5,Vietnam,5.36
2015,Southern Asia,1,Bhutan,5.253
2015,Southern Asia,2,Pakistan,5.194
2015,Southern Asia,3,Bangladesh,4.694
2015,Southern Asia,4,India,4.565
2015,Southern Asia,5,Nepal,4.514
2015,Sub-Saharan Africa,1,Mauritius,5.477
2015,Sub-Saharan Africa,2,Nigeria,5.268
2015,Sub-Saharan Africa,3,Zambia,5.129
2015,Sub-Saharan Africa,4,Somaliland region,5.057
2015,Sub-Saharan Africa,5,Mozambique,4.971
2015,Western Europe,1,Switzerland,7.587
2015,Western Europe,2,Iceland,7.561
2015,Western Europe,3,Denmark,7.527
2015,Western Europe,4,Norway,7.522
2015,Western Europe,5,Finland,7.406
2016,Australia and New Zealand,1,New Zealand,7.334
2016,Australia and New Zealand,2,Australia,7.313
2016,Central and Eastern Europe,1,Czech Republic,6.596
2016,Central and Eastern Europe,2,Slovakia,6.078
2016,Central and Eastern Europe,3,Uzbekistan,5.987
2016,Central and Eastern Europe,4,Kazakhstan,5.919
2016,Central and Eastern Europe,5,Moldova,5.897
2016,Eastern Asia,1,Taiwan,6.379
2016,Eastern Asia,2,Japan,5.921
2016,Eastern Asia,3,South Korea,5.835
2016,Eastern Asia,4,Hong Kong,5.458
2016,Eastern Asia,5,China,5.245
2016,Latin America and Caribbean,1,Costa Rica,7.087
2016,Latin America and Caribbean,2,Puerto Rico,7.039
2016,Latin America and Caribbean,3,Brazil,6.952
2016,Latin America and Caribbean,4,Mexico,6.778
2016,Latin America and Caribbean,5,Chile,6.705
2016,Middle East and Northern Africa,1,Israel,7.267
2016,Middle East and Northern Africa,2,United Arab Emirates,6.573
2016,Middle East and Northern Africa,3,Saudi Arabia,6.379
2016,Middle East and Northern Africa,4,Qatar,6.375
2016,Middle East and Northern Africa,5,Algeria,6.355
2016,North America,1,Canada,7.404
2016,North America,2,United States,7.104
2016,Southeastern Asia,1,Singapore,6.739
2016,Southeastern Asia,2,Thailand,6.474
2016,Southeastern Asia,3,Malaysia,6.005
2016,Southeastern Asia,4,Indonesia,5.314
2016,Southeastern Asia,5,Philippines,5.279
2016,Southern Asia,1,Bhutan,5.196
2016,Southern Asia,2,Pakistan,5.132
2016,Southern Asia,3,Nepal,4.793
2016,Southern Asia,4,Bangladesh,4.643
2016,Southern Asia,5,Sri Lanka,4.415
2016,Sub-Saharan Africa,1,Mauritius,5.648
2016,Sub-Saharan Africa,2,Somalia,5.44
2016,Sub-Saharan Africa,3,Somaliland Region,5.057
2016,Sub-Saharan Africa,4,Nigeria,4.875
2016,Sub-Saharan Africa,5,Zambia,4.795
2016,Western Europe,1,Denmark,7.526
2016,Western Europe,2,Switzerland,7.509
2016,Western Europe,3,Iceland,7.501
2016,Western Europe,4,Norway,7.498
